Cabin,Survived
A16,1.0
A23,1.0
A20,1.0
A34,1.0
B18,1.0
A31,1.0
A26,1.0
B101,1.0
A6,1.0
B5,1.0
B49,1.0
B39,1.0
B4,1.0
B41,1.0
B42,1.0
B35,1.0
B3,1.0
B28,1.0
B20,1.0
F4,1.0
F33,1.0
E36,1.0
E40,1.0
E68,1.0
E8,1.0
F E69,1.0
E50,1.0
E121,1.0
E12,1.0
B50,1.0
B78,1.0
B73,1.0
B77,1.0
B69,1.0
B57 B59 B63 B66,1.0
C104,1.0
B96 B98,1.0
C101,1.0
B80,1.0
C103,1.0
B79,1.0
C70,1.0
C7,1.0
C47,1.0
C50,1.0
C32,1.0
C45,1.0
C148,1.0
C125,1.0
C126,1.0
C106,1.0
C52,1.0
C54,1.0
C85,1.0
C62 C64,1.0
E17,1.0
E24,1.0
E25,1.0
E33,1.0
E49,1.0
E34,1.0
D37,1.0
D49,1.0
D47,1.0
D7,1.0
D56,1.0
D9,1.0
D28,1.0
D33,1.0
D35,1.0
D36,1.0
D45,1.0
D21,1.0
D20,1.0
D19,1.0
D10 D12,1.0
D11,1.0
D15,1.0
D17,1.0
C93,1.0
C99,1.0
C92,1.0
C90,1.0
E101,1.0
E10,1.0
F2,0.6666666666666666
D,0.6666666666666666
B58 B60,0.5
C2,0.5
B22,0.5
B51 B53 B55,0.5
E67,0.5
C78,0.5
C123,0.5
C23 C25 C27,0.5
C68,0.5
C65,0.5
G6,0.5
E44,0.5
C83,0.5
C22 C26,0.3333333333333333
B19,0.0
B102,0.0
A36,0.0
A19,0.0
A24,0.0
A32,0.0
A10,0.0
A14,0.0
A5,0.0
A7,0.0
B37,0.0
B94,0.0
B82 B84,0.0
B86,0.0
C86,0.0
C82,0.0
C49,0.0
C46,0.0
C124,0.0
C110,0.0
C128,0.0
C30,0.0
C111,0.0
C118,0.0
B38,0.0
B30,0.0
B71,0.0
C95,0.0
C87,0.0
D26,0.0
D6,0.0
D50,0.0
D48,0.0
D46,0.0
D30,0.0
C91,0.0
E31,0.0
E38,0.0
E46,0.0
E77,0.0
E58,0.0
E63,0.0
F G63,0.0
F G73,0.0
F38,0.0
T,0.0
