Cabin,Survived
B96 B98,4
E101,3
F33,3
B20,2
B28,2
B77,2
C125,2
B57 B59 B63 B66,2
B35,2
B5,2
E24,2
E25,2
D35,2
D20,2
C52,2
C92,2
E33,2
E8,2
G6,2
F2,2
F4,2
C93,2
D,2
D36,2
D33,2
E121,2
C126,2
B18,2
B49,2
C23 C25 C27,2
D17,2
A6,1
A26,1
A31,1
A16,1
A23,1
A20,1
C123,1
C106,1
C104,1
C103,1
B80,1
C101,1
B78,1
B79,1
B51 B53 B55,1
B58 B60,1
B73,1
B69,1
B41,1
B4,1
B42,1
B50,1
A34,1
B101,1
B22,1
B3,1
B39,1
C70,1
C68,1
C7,1
C47,1
C50,1
C54,1
C2,1
C22 C26,1
C32,1
C45,1
C148,1
D28,1
D21,1
D19,1
D15,1
D10 D12,1
D11,1
C83,1
C99,1
C78,1
C90,1
C85,1
C62 C64,1
C65,1
D56,1
D45,1
D37,1
E17,1
E12,1
D9,1
E10,1
D7,1
D47,1
D49,1
E34,1
E50,1
E49,1
E44,1
E40,1
E36,1
F E69,1
E67,1
E68,1
